Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
BQru,BQru-7082,BQru-7082,922MB,Phone,Spreadtrum SC7731C,600x1024,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-8041L,BQru-8041L,1894MB,Tablet,Mediatek MT8735,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-7022G,BQru-7022,914MB,Tablet,Spreadtrum SC7731G,800x1280,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5007L IRON,BQru-5007L,1942MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,BQ-5302G,BQru-5302G,956MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
BQru,BQ-6000L Aurora,BQru-6000L,3863MB,Phone,Mediatek MT6757CD,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
BQru,BQ-5008L Brave,BQru-5008L,1927MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-6001 L,BQru-6001L,1844MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,25,3.2
BQru,BQ-6040L,BQru-6040L,1819MB,Phone,Spreadtrum SC9863A,720x1560,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
BQru,BQru-7083,BQru-7083,922MB,Phone,Spreadtrum SC7731C,600x1024,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5011G FOX VIEW,BQru-5011G,903MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
BQru,BQ-1056L,BQru_1056L,876MB,Tablet,Spreadtrum SC9832A,1280x800,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5059 Strike Power,BQru_5059,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5202,BQru-5202,1867MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-5035 Velvet,BQru-5035,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5500L Advance,BQru-5500L,1881MB,Phone,Mediatek MT6737,720x1440,320,armeabi-v7a;armeabi,24,3.1
BQru,BQ-5201,BQru-5201,2872MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-5300G,BQru-5300G,449MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
BQru,BQ-5504 Strike Selfie Max,BQru_5504,2899MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,BQ-5206L Balance,BQru-5206L,1903MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-5522 Next,BQru-5522,963MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5512L STRIKE FORWARD,BQru-5512L,1839MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
BQru,BQ-5015L FIRST,BQru-5015L,880MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,27,3.2
BQru,BQ-5058 Strike Power Easy,BQru-5058,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5056 Fresh,BQru-5056,962MB,Phone,Mediatek MT8321,480x854,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5001L Contact,BQru-5001L,894MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-5517L TWIN PRO,BQru-5517L,3756MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
BQru,BQ-5510 Strike Power Max 4G,BQru_5510,862MB,Phone,Mediatek MT6737M,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,BQ-5044 Strike LTE,BQru-5044,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,BQ-4072 Strike Mini,BQru_4072,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5211,BQru-5211,896MB,Phone,Mediatek MT6580,1280x720,320,armeabi-v7a;armeabi,24,2.0
BQru,5701L Slim,BQru-5701L,1896MB,Phone,Mediatek MT6737T,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
BQru,BQ-1085L,BQru-1085L,1802MB,Tablet,Spreadtrum SC9832E,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,27,3.2
BQru,BQ-6015L Universe,BQru-6015L,2851MB,Phone,Qualcomm MSM8940,720x1528,280,arm64-v8a;armeabi-v7a;armeabi,26,3.2
BQru,BQru-4526,BQru-4526,926MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
BQru,BQ-4585 Fox View,BQru-4585,914MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
BQru,BQru-1081G,BQru-1081G,922MB,Phone,Spreadtrum SC7731C,600x1024,213,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5700L Space X,BQru-5700L,2858MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
BQru,BQ-5591 Jeans,BQru-5591,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
BQru,BQru-5521L,BQru_5521L,920MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,27,3.1
BQru,BQru-5514L,BQru-5514L,885MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,27,3.2
BQru,BQ-4028UP!,BQru-4028,462MB,Phone,Mediatek MT6570,480x800,240,armeabi-v7a;armeabi,23,2.0
BQru,BQ-8067L,BQru-8067L,886MB,Phone,Spreadtrum SC9832E,800x1280,240,armeabi-v7a;armeabi,27,3.2
BQru,BQ-5010G SPOT,BQru-5010G,951MB,Phone,Mediatek MT6580M,720x1280,320,armeabi-v7a;armeabi,27,2.0
BQru,BQ-5508L,BQru-5508L,897MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,25,3.2
BQru,BQ-1084L,BQru-1084L,886MB,Tablet,Spreadtrum SC9832E,1280x800,213,armeabi-v7a;armeabi,27,3.2
